Time (unixtime),CURRENT_VELOCITY,CURRENT_POSITION,REMAINING_STEPS,STACK_VOLTAGE,EXTERNAL_VOLTAGE,CURRENT_CONSUMPTION,CHECKSUM
1594905249.713359,0,0,0,354,12020,225,0x4
1594905249.7263591,0,0,0,354,12020,225,0x33
1594905249.7399614,0,0,0,363,12046,225,0x3d
1594905249.753355,0,0,0,372,12046,225,0x8
1594905249.7666101,0,0,0,354,12011,225,0x3d
1594905249.7802098,0,0,0,363,12020,225,0x36
1594905249.7933607,0,0,0,363,12029,225,0x3c
1594905249.8065572,0,0,0,363,12037,225,0x37
1594905249.8221755,0,0,0,354,12011,225,0x32
1594905249.836039,0,0,0,363,12020,225,0xd
1594905249.849774,0,0,0,372,12011,225,0x9
1594905249.863204,0,0,0,363,12011,225,0x3
1594905249.876411,0,0,0,363,12037,225,0x1
1594905249.8893132,0,0,0,363,12011,225,0x32
1594905249.9020214,0,0,0,363,12011,225,0x34
1594905249.9150279,0,0,0,372,12002,225,0x3b
1594905249.9279747,0,0,0,363,12011,225,0x39
1594905249.9409213,0,0,0,363,12029,225,0x37
1594905249.9541957,0,0,0,363,12002,225,0x38
1594905249.967418,0,0,0,363,12029,225,0x6
1594905249.9811687,0,0,0,354,12029,225,0x3f
1594905249.9941578,0,0,0,363,12037,225,0x33
1594905250.0068305,0,0,0,372,12011,225,0x38
1594905250.0196016,0,0,0,363,12029,225,0x32
1594905250.0325584,0,0,0,363,12020,225,0x3f
1594905250.0464456,0,0,0,363,12011,225,0x31
1594905250.0596702,0,0,0,354,12029,225,0x30
1594905250.0724578,0,0,0,363,12037,225,0x3f
1594905250.0857728,0,0,0,363,12011,225,0x37
1594905250.098645,0,0,0,372,12037,225,0x2
1594905250.1114624,0,0,0,363,12055,225,0x35
1594905250.12434,0,0,0,381,12020,225,0x3e
1594905250.1374302,0,0,0,363,12029,225,0x3b
1594905250.1501675,0,0,0,354,12029,225,0x3e
1594905250.163446,0,0,0,363,12020,225,0x0
1594905250.1767297,0,0,0,363,12037,225,0x3f
1594905250.189923,0,0,0,363,12002,225,0xa
1594905250.20276,0,0,0,354,12011,225,0x35
1594905250.2157888,0,0,0,363,12029,225,0x32
1594905250.2311864,0,0,0,363,12020,225,0x39
1594905250.2442982,0,0,0,372,12029,225,0x38
1594905250.2595332,0,0,0,363,12037,225,0x3d
1594905250.2731767,0,0,0,363,12011,225,0x31
1594905250.286452,0,0,0,363,12029,225,0x4
1594905250.2996979,0,0,0,363,12029,225,0x38
1594905250.313056,0,0,0,372,12020,225,0x0
1594905250.325877,0,0,0,372,12011,225,0xc
1594905250.3407884,0,0,0,363,12011,225,0x34
1594905250.3542488,0,0,0,363,12037,225,0x30
1594905250.367043,0,0,0,363,12011,225,0x5
1594905250.380782,0,0,0,372,12020,225,0x4
1594905250.39385,0,0,0,372,12029,225,0x3f
1594905250.4067767,0,0,0,372,12020,225,0x31
1594905250.419925,0,0,0,363,12020,225,0x0
1594905250.43608,0,0,0,363,12029,225,0x32
1594905250.4500964,0,0,0,372,12029,225,0x31
1594905250.4633853,0,0,0,372,12029,225,0x37
1594905250.476379,0,0,0,363,12020,225,0xa
1594905250.489437,0,0,0,363,12020,225,0x7
1594905250.5021122,0,0,0,363,12046,225,0x35
1594905250.5150409,0,0,0,363,12011,225,0x3c
1594905250.527827,0,0,0,363,12046,225,0xf
1594905250.541107,0,0,0,363,12011,225,0x6
1594905250.554092,0,0,0,363,12011,225,0xf
1594905250.5667586,0,0,0,363,12037,225,0x3d
1594905250.5799472,0,0,0,363,12011,225,0x33
1594905250.5929227,0,0,0,363,12020,225,0x32
1594905250.6084554,0,0,0,363,12020,225,0x3c
1594905250.6212275,0,0,0,363,12020,225,0x35
1594905250.6340582,0,0,0,363,12037,225,0x3a
1594905250.6471214,0,0,0,363,12020,225,0x31
1594905250.6597762,0,0,0,363,12029,225,0x35
1594905250.6726398,0,0,0,354,12011,225,0x33
1594905250.6863124,0,0,0,363,12020,225,0x3e
1594905250.6996846,0,0,0,363,12029,225,0x31
1594905250.7128732,0,0,0,363,12046,225,0x38
1594905250.7259467,0,0,0,363,12029,225,0x37
1594905250.73916,0,0,0,363,12029,225,0x31
1594905250.7519057,0,0,0,354,12046,225,0x3e
1594905250.764763,0,0,0,363,12011,225,0x7
1594905250.7786667,0,0,0,363,12029,225,0x32
1594905250.79145,0,0,0,354,12029,225,0x31
1594905250.80444,0,0,0,372,12020,225,0x3e
1594905250.8174443,0,0,0,363,12029,225,0x32
1594905250.8303065,0,0,0,372,12011,225,0x3b
1594905250.8431451,0,0,0,363,12020,225,0x3c
1594905250.8562078,0,0,0,372,12020,225,0x34
1594905250.8692112,0,0,0,363,12037,225,0x33
1594905250.8833416,0,0,0,363,12020,225,0x31
1594905250.8961432,0,0,0,363,12020,225,0x31
1594905250.9095721,0,0,0,363,12029,225,0x3a
1594905250.9225345,0,0,0,363,12011,225,0x3e
1594905250.9359772,0,0,0,363,12011,225,0x34
